emp_no,last_name,first_name,gender,to_date,salary
10198,Furedi,Pranav,M,9999-01-01,44076
10001,Facello,Georgi,M,9999-01-01,60117
10004,Koblick,Chirstian,M,9999-01-01,40054
10009,Peac,Sumant,F,9999-01-01,60929
10018,Peha,Kazuhide,F,9999-01-01,55881
10035,Chappelet,Alain,M,9999-01-01,41538
10053,Zschoche,Sanjiv,F,9999-01-01,67854
10058,McFarlin,Berhard,M,9999-01-01,52787
10066,Schusler,Kwee,M,9999-01-01,69736
10067,Stavenow,Claudi,M,9999-01-01,44642
10070,Garigliano,Reuven,M,9999-01-01,55999
10072,Sidou,Hironoby,F,9999-01-01,40000
10076,Ritzmann,Erez,F,9999-01-01,47319
10088,Syrzycki,Jungsoon,F,9999-01-01,65957
10100,Haraldson,Hironobu,F,9999-01-01,54398
10103,Birch,Akemi,M,9999-01-01,68158
10126,Valtorta,Kayoko,M,9999-01-01,40000
10129,Peir,Armond,M,9999-01-01,40000
10130,Casperson,Nishit,M,9999-01-01,40000
10134,Siprelle,Diederik,M,9999-01-01,40000
10138,Shimshoni,Perry,M,9999-01-01,53574
10150,Perng,Zhenbing,F,9999-01-01,70122
10153,Majewski,Heekeun,M,9999-01-01,54246
10157,Aloisi,Nigel,M,9999-01-01,48770
10372,Frijda,Anneli,F,9999-01-01,54505
10387,Wrigley,Parto,F,9999-01-01,61374
10396,Rahier,Sibyl,M,9999-01-01,40393
10402,Ebeling,Volkmar,M,9999-01-01,40000
10404,Rosti,Prodip,F,9999-01-01,51647
10426,Luce,Arunas,F,9999-01-01,65757
10429,Improta,Martien,F,9999-01-01,40000
10432,Tiemann,Hisao,F,9999-01-01,40000
10451,Ranta,Bodh,F,9999-01-01,46275
10453,Matzel,Tsvetan,F,9999-01-01,40000
10463,Zaiane,Ung,M,9999-01-01,66480
10486,Kossowski,Amstein,F,9999-01-01,71692
10494,Servieres,Yakkov,F,9999-01-01,50094
10504,Varker,Xiong,M,9999-01-01,43931
10512,Gihr,Udi,M,9999-01-01,40000
10522,Cesareni,Marke,F,9999-01-01,40000
10548,Gunderson,Ramalingam,M,9999-01-01,90631
10564,Thisen,Jianhao,M,9999-01-01,46660
10623,Danlos,Aleksander,F,9999-01-01,60268
10628,Krogh,Krisda,M,9999-01-01,41650
10631,Chaudhuri,Inderjeet,M,9999-01-01,40000
10642,Narlikar,Hirochika,M,9999-01-01,40000
10653,Feinberg,Otmar,M,9999-01-01,40000
10671,Rebaine,Parviz,M,9999-01-01,74037
10676,Danley,Valeri,F,9999-01-01,58226
10693,Daescu,Berhard,F,9999-01-01,40000
10702,Szemeredi,Bader,M,9999-01-01,46581
10718,Rullman,Adib,M,9999-01-01,75473
10726,Minakawa,Zita,F,9999-01-01,46315
10734,Erdi,Sachar,M,9999-01-01,47377
10745,Ranze,Poorav,F,9999-01-01,40000
10749,Brendel,King,M,9999-01-01,60829
10767,Doering,Monique,F,9999-01-01,40651
10768,Candan,Ishfaq,M,9999-01-01,65717
10778,Merey,Selwyn,M,9999-01-01,64996
10791,Sgarro,Tadahiko,M,9999-01-01,40000
10795,Naudin,Supot,M,9999-01-01,84206
10808,Leijenhorst,Chenxi,M,9999-01-01,40000
10835,Kermarrec,Tomoyuki,M,9999-01-01,40000
10836,Leivant,Jianhua,F,9999-01-01,65502
10844,Koprowski,Dipayan,M,9999-01-01,40000
10847,Danley,Theirry,M,9999-01-01,40000
10848,Bratsberg,Fen,F,9999-01-01,50475
10215,Duclos,Xiaobin,M,9999-01-01,43944
10224,Trogemann,Leon,M,9999-01-01,40000
10233,Vendrig,Lein,F,9999-01-01,40000
10878,Deville,Lakshmi,M,9999-01-01,72102
10879,Chleq,Muzhong,F,9999-01-01,65651
10883,Champarnaud,Shimshon,M,9999-01-01,40000
10258,Ishibashi,Basil,F,9999-01-01,66280
10272,Cannane,Yishai,M,9999-01-01,58070
10909,Atchley,Georgi,M,9999-01-01,80935
10282,Benzmuller,Hercules,M,9999-01-01,40000
10921,Bahi,Mara,F,9999-01-01,72601
10924,Atchley,Hironoby,F,9999-01-01,84783
10283,Birjandi,Kauko,M,9999-01-01,40000
10326,Czap,Masali,F,9999-01-01,40000
10927,Scallan,Gal,M,9999-01-01,51819
10936,Schicker,Mountaz,F,9999-01-01,40000
10340,Laventhal,Djelloul,M,9999-01-01,68132
10943,Skafidas,Berna,M,9999-01-01,45890
10347,Kaminger,Pradeep,M,9999-01-01,42199
10355,Cochrane,Satyanarayana,M,9999-01-01,70434
10356,Standera,Vasilis,M,9999-01-01,45376
10965,Braunschweig,Eckart,M,9999-01-01,61654
10364,Dengi,Nakhoon,M,9999-01-01,51401
10969,Noriega,Premal,M,9999-01-01,40000
10974,Papsdorf,Muneo,M,9999-01-01,56005
11112,Mukaidono,Boaz,M,9999-01-01,40000
10986,Schiper,Masako,M,9999-01-01,43900
10988,Deyuan,Chinya,M,9999-01-01,54174
10989,Candan,Sumali,F,9999-01-01,46406
10990,Foote,Shin,M,9999-01-01,40000
11113,Peng,Shahab,F,9999-01-01,66401
11121,Kakkad,Vugranam,F,9999-01-01,40000
11133,Azulay,Nalini,M,9999-01-01,40000
11009,Axelband,Alper,F,9999-01-01,75111
11012,Speckmann,Taegyun,F,9999-01-01,72092
11134,Rajcani,Sachar,F,9999-01-01,58731
11019,Huttel,Leon,M,9999-01-01,69387
11137,Luca,Hugh,M,9999-01-01,40000
11021,Henders,Srinidhi,F,9999-01-01,62670
11027,Cappello,Remzi,M,9999-01-01,40000
11139,Homond,Bogdan,F,9999-01-01,63596
11031,Walstra,Ottavia,M,9999-01-01,71654
11146,Masand,Ishfaq,F,9999-01-01,96019
11037,Maliniak,Lansing,M,9999-01-01,40000
11038,Beidas,Jinya,M,9999-01-01,44993
11148,Botman,Zhanqiu,F,9999-01-01,56344
11162,Narlikar,Kauko,F,9999-01-01,69873
11042,Breugel,Gou,F,9999-01-01,40000
11048,Demke,Jaques,M,9999-01-01,65697
